Symbol,Predicted Growth
MSFT,Below Average
AAPL,Below Average
NVDA,Below Average
AVGO,Below Average
AVGO,Above Average
ORCL,Below Average
AMD,Below Average
QCOM,Below Average
CRM,Below Average
ADBE,Below Average
CSCO,Below Average
AMAT,Below Average
TXN,Below Average
ACN,Below Average
INTU,Below Average
IBM,Below Average
MU,Below Average
NOW,Below Average
INTC,Below Average
LRCX,Below Average
ADI,Below Average
KLAC,Below Average
PANW,Below Average
FI,Below Average
SNPS,Below Average
APH,Below Average
CDNS,Below Average
NXPI,Below Average
MSI,Below Average
ROP,Below Average
MCHP,Below Average
SMCI,Below Average
TEL,Below Average
FTNT,Below Average
ADSK,Below Average
FIS,Below Average
MPWR,Below Average
HPQ,Below Average
CTSH,Below Average
IT,Below Average
GLW,Below Average
FICO,Below Average
GRMN,Below Average
ON,Below Average
CDW,Below Average
FSLR,Below Average
ANSS,Below Average
NTAP,Below Average
WDC,Below Average
BR,Below Average
TER,Below Average
PTC,Below Average
TYL,Below Average
LDOS,Below Average
STX,Below Average
TDY,Below Average
CPAY,Below Average
ENPH,Below Average
VRSN,Below Average
ZBRA,Below Average
GEN,Below Average
SWKS,Below Average
JBL,Below Average
AKAM,Below Average
TRMB,Below Average
JKHY,Below Average
JNPR,Below Average
EPAM,Above Average
EPAM,Below Average
FFIV,Below Average
